name,line,over,under
Marcus Smart Rebounds + Assists,9.5,-140,110
Marcus Smart Three Points Made,1.5,-153.5,120
Marcus Smart Blocks,0.5,226,-362
Marcus Smart Steals,0.5,-202,138
Marcus Smart Steals + Blocks,1.5,150,-222
Marcus Smart Turnovers,1.5,-177,122
Matt Ryan Three Points Made,0.5,453,-1000
Matt Ryan Turnovers,0.5,382,-750
Nathan Knight Turnovers,0.5,190,-292
Naz Reid Points,8.5,-123,-42.33333333
Naz Reid Rebounds,4.5,-142.6666667,108
Naz Reid Points + Rebounds + Assists,14.5,-136,-106
Naz Reid Points + Rebounds,13.5,-140,-103
Naz Reid Rebounds + Assists,5.5,-154,107
Naz Reid Three Points Made,0.5,-172,119
Naz Reid Turnovers,1.5,156,-232
Payton Pritchard Three Points Made,0.5,321,-577
Payton Pritchard Turnovers,0.5,382,-750
Rudy Gobert Points,12.5,-119.6666667,-114.3333333
Rudy Gobert Rebounds,12.5,-120.5,-115
Rudy Gobert Assists,1.5,-124,-116
Rudy Gobert Points + Rebounds + Assists,26.5,-138,-104
Rudy Gobert Points + Rebounds,25.5,-110,-130
Rudy Gobert Points + Assists,14.5,-107,-134
Rudy Gobert Rebounds + Assists,14.5,-104,-138
Rudy Gobert Blocks,0.5,-232,156
Rudy Gobert Steals,0.5,-114,-126
Rudy Gobert Steals + Blocks,1.5,-134,-107
Rudy Gobert Turnovers,3.5,-101,-142
Rudy Gobert Three Points Made,0.5,1400,-62000
Sam Hauser Three Points Made,1.5,138,-202
Sam Hauser Turnovers,0.5,184,-282
Wendell Moore Jr. Three Points Made,0.5,365,-700
Wendell Moore Jr. Turnovers,0.5,190,-292
Andre Drummond Rebounds,5.5,-163,113
Andre Drummond Points + Rebounds + Assists,12.5,-126,-114
Andre Drummond Points + Rebounds,11.5,-134,-107
Andre Drummond Rebounds + Assists,6.5,-148,103
Andre Drummond Steals + Blocks,1.5,138,-202
Andre Drummond Turnovers,0.5,-182,125
Ayo Dosunmu Points,8.5,-141,107
Ayo Dosunmu Rebounds,2.5,-110,-120
Ayo Dosunmu Assists,2.5,9,-150
Ayo Dosunmu Points + Rebounds + Assists,15.5,-115,-115
Ayo Dosunmu Points + Rebounds,12.5,-120,-110
Ayo Dosunmu Points + Assists,12.5,-105,-125
Ayo Dosunmu Rebounds + Assists,6.5,120,-150
Carlik Jones Turnovers,0.5,340,-627
Coby White Points,9.5,-133,-5
Coby White Rebounds,3.5,125,-182
Coby White Points + Rebounds + Assists,15.5,-120,-120
Coby White Points + Rebounds,13.5,-103,-140
Coby White Points + Assists,12.5,-110,-130
Coby White Rebounds + Assists,5.5,-110,-130
Coby White Three Points Made,1.5,-166,115
Coby White Turnovers,1.5,162,-242
Dalen Terry Three Points Made,0.5,427,-900
Dalen Terry Turnovers,0.5,219,-347
DeMar DeRozan Points,25.5,-114.3333333,-112.6666667
DeMar DeRozan Rebounds,5.5,106,-133.6
DeMar DeRozan Assists,4.5,-29,-117.8
DeMar DeRozan Points + Rebounds + Assists,35.5,-116.8,-109.6
DeMar DeRozan Points + Rebounds,31.5,-113.5,-121.5
DeMar DeRozan Points + Assists,32.5,-124,-116
DeMar DeRozan Rebounds + Assists,9.5,-135,105
DeMar DeRozan Three Points Made,1.5,184,-282
DeMar DeRozan Blocks,0.5,184,-282
DeMar DeRozan Steals,1.5,-148,103
DeMar DeRozan Steals + Blocks,1.5,-252,167
DeMar DeRozan Turnovers,1.5,-163,113
Goran Dragic Points,7.5,-110,-120
Goran Dragic Points + Assists,10.5,-106,-129
Goran Dragic Three Points Made,0.5,-187,128
Goran Dragic Turnovers,1.5,138,-202
Immanuel Quickley Points,10.5,-135,105
Immanuel Quickley Rebounds,3.5,125,-182
Immanuel Quickley Points + Rebounds + Assists,17.5,-138,-104
Immanuel Quickley Points + Rebounds,15.5,-104,-138
Immanuel Quickley Points + Assists,14.5,-128,-112
Immanuel Quickley Rebounds + Assists,5.5,-142,-101
